CODE,NUTS3,POPULATION,POP_DENS,POP_60,P_POP_60,P_MALES,POP 014,P_POP_0_14,POP 1529,P_POP_15_29,POP 3044,P_POP_30_44,POP 4559,P_POP_45_59,POP_GROWTH,HOUSEHOLDS,DWELLINGS,SURFACE_AREA,COVID19_D,COVID19_CCONF,DURATION_LD,LAG_LD,NO2,WIND,TEMP,NTI,PRESSURE,PRECIPITATION,SOLAR_RAD,LAI,PM25
FR,FRF31,732682,139,189147,25.8157,48.62,123918,16.91293,143666,19.60823,133917,18.27764,142034,19.38549,0,330944,372828,5227.33,365,1757,55,53,4.07515,3.16513,9.50011,15.43119,0.96562,67.40448,11485.36587,1.19624,9.50011
FR,FRF32,184512,30,55712,30.19424,49.39787,30841,16.7149,28015,15.18329,31413,17.02491,38531,20.88265,3,82449,99460,6165.65,103,288,55,53,3.65993,3.05301,9.67014,7.20139,0.97153,66.0614,11230.83444,0.88627,9.67014
FR,FRF33,1037131,166,278210,26.82496,48.91369,172903,16.67128,171005,16.48827,194446,18.74845,220567,21.26703,0,451021,510136,6181.74,854,2226,55,53,3.60654,3.27649,9.46309,17.50321,0.96227,69.20255,11188.4069,1.15968,9.46309
FR,FRF34,361134,61,115020,31.84967,48.52243,57060,15.80023,53165,14.72168,58842,16.29367,77047,21.33474,3,165364,212733,5837.77,267,869,55,53,3.31792,3.27974,8.83496,11.90778,0.93676,79.5407,11656.51354,2.06502,8.83496
FR,FRF11,1128375,235,280879,24.89235,48.564,188781,16.73034,211965,18.78498,211403,18.73517,235347,20.85716,2,489052,545894,4746.27,687,2436,55,53,4.58388,3.08717,9.65641,21.17756,0.97976,68.00101,11126.94515,1.64979,9.65641
FR,FRF12,762501,216,201979,26.48901,48.90118,133754,17.54149,121084,15.87985,142339,18.66739,163345,21.42227,1,328853,373349,3497.24,831,2648,55,53,3.4369,3.01,9.28096,20.72125,0.95231,73.85142,11576.31499,2.08862,9.28096
FR,FRC21,540256,103,138568,25.64858,48.89571,98516,18.23506,99526,18.42201,100116,18.53121,103530,19.16314,1,242423,277328,5211.05,152,880,55,53,2.26103,2.67291,8.43593,12.77542,0.9085,100.10144,11970.31961,1.84132,8.43593
FR,FRC22,258886,51,78979,30.50725,48.65385,43533,16.81551,37887,14.63463,43962,16.98122,54525,21.06139,0,117847,148203,5009.13,60,346,55,53,2.21642,2.87609,9.48255,9.75672,0.94305,97.79599,12142.98498,1.65259,9.48255
FR,FRC23,233543,43,71415,30.57895,49.24104,39775,17.03112,32957,14.11175,39563,16.94035,49833,21.33783,2,103955,126517,5339.67,77,445,55,53,2.39489,2.74097,9.88127,7.32121,0.99586,84.17746,11818.96498,1.63868,9.88127
FR,FRC24,143261,235,37749,26.34981,49.69252,25588,17.86111,25311,17.66775,26245,18.31971,28368,19.80162,0,64760,71864,605.29,200,302,55,53,2.86341,2.65978,9.15433,21.25781,0.95891,82.88608,11732.02116,2.13924,9.15433
FR,FRG01,1429954,205,342014,23.91783,48.55226,269023,18.8134,263830,18.45024,279098,19.51797,275989,19.30055,6,627009,729056,6912.24,170,2067,55,53,1.60142,3.88827,11.8797,16.36069,1.13139,64.98825,12248.24829,1.09741,11.8797
FR,FRG02,816713,114,215553,26.39275,48.7307,150055,18.37304,148458,18.1775,145600,17.82756,157047,19.22915,1,354610,390930,7108.02,14,1131,55,53,1.95035,3.75892,11.54706,11.1921,1.08481,61.35753,12086.23699,0.98658,11.54706
FR,FRG03,305337,59,87128,28.53503,49.19155,56729,18.57914,47814,15.65942,52194,17.0939,61472,20.13251,0,132735,155485,5161.02,48,1487,55,53,2.32685,3.76684,11.12429,7.89057,1.05671,63.71516,11629.03739,0.98825,11.12429
FR,FRG04,562080,90,162310,28.87667,48.57956,101435,18.04636,90828,16.15927,95375,16.96823,112132,19.94947,1,247856,289186,6183.74,88,1540,55,53,1.79641,3.96004,11.12872,10.15162,1.05994,57.77102,11596.08736,0.86659,11.12872
